Область,Тергромада,Програма-проєкт МТД,Тематика,Кількість
Вінницька,Джулинська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Жмеринська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Краснопільська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Ладижинська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Махнівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Немирівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Стрижавська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Вінницька,Сутисківська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Теплицька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Тульчинська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Хмільницька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Калинівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Вінницька,Козятинська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,5
Вінницька,Лука-Мелешківська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,6
Вінницька,Літинська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,6
Вінницька,Махнівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,8
Вінницька,Піщанська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,8
Вінницька,Стрижавська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,14
Вінницька,Агрономічна,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Вінницька,Могилів-Подільська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Станіславчицька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,5
Вінницька,Мурованокуриловецька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Вінницька,Бершадська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Вінницька,Брацлавська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Вендичанська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
